prov_name,province,psgc,pt_urb_2012,pt_urb_2015_old,pt_rur_2012,pt_rur_2015_old,pt_urb_2015_new,pt_urb_2018,pt_rur_2015_new,pt_rur_2018
Isabela,3100,023100,20242.9200753560,24130.2002006302,19226.2726531061,22423.9507340226,24498.6395532006,26742.2311327510,23212.2297007017,25227.9822425891
Kalinga,3200,143200,17990.8814922678,21377.2041928767,17172.7105119061,20327.7457400888,22276.8294429328,25358.7283402549,21228.8128311614,24146.8136903910
La Union,3300,013300,18782.3578840860,19876.1850207647,17976.4632193155,19023.0273521409,22781.1844924760,23389.4928672068,21849.6000329943,22412.5364434541
Laguna,3400,043400,20174.5068521586,22202.7035609679,19175.5768886954,21131.9926331720,21682.7958301383,24193.6616328986,20620.0091651153,22948.1266090105
Lanao del Norte,3500,103500,19542.6177860518,22537.3764281554,18736.7750250609,21626.9231927137,23132.5008199609,25261.5155807991,22155.4749280710,24240.2229138422
Lanao del Sur,3600,153600,23574.0073578121,23763.4254618359,22612.1756439353,22771.0153229271,25240.9995703852,30407.2748102535,24354.7186023199,29186.4957754547
Leyte,3700,083700,18319.6369037599,21723.9671854112,17527.4225929715,20777.4636573622,22281.7393056702,24401.4364858128,21368.1599686553,23469.9468100702
Maguindanao,3800,153800,19680.2539084811,22377.2017757411,18775.7806211428,21308.8930259201,21143.8493484176,26208.9932693685,20193.7419447229,24939.1665473292
NCR District 1,3900,133900,20343.9500532828,25006.5034230556,0.0000000000,0.0000000000,25187.9578977517,28682.2740942288,0.0000000000,0.0000000000
Marinduque,4000,174000,18068.8058950126,20770.4151471883,17179.6894655478,19721.8783407933,21001.8489904053,25339.4213088930,19951.2816840899,24041.8831447802
Masbate,4100,054100,18395.4694411476,21443.7308592502,17486.9742084033,20406.3964215724,21512.6736359731,24029.0706000286,20406.1291708435,22875.1253043105
Misamis Occidental,4200,104200,18807.1029643420,20996.7062866963,17983.5314334813,20067.3063153372,22895.1141815028,25394.0000935088,21939.4134429787,24327.5502037291
Misamis Oriental,4300,104300,19498.5536302449,21918.9603322354,18700.0572819705,21056.9525991694,22564.4617005695,24533.9349622022,21703.4449373393,23598.1325044709
Mt Province,4400,144400,22270.8627548969,25326.5358601489,21137.9154534613,23534.5634793527,25805.4704281827,29148.3746240871,24480.8248603752,27624.4164399255
Negros Occidental,4500,064500,17540.9808114665,20844.1604358318,16731.9894099842,19946.2688164056,21908.9216669053,24029.5002148074,21163.8264356294,23182.5862809681
Negros Oriental,4600,074600,19294.0283545754,23574.0374383272,18373.2922812545,22451.9273729686,22806.6932493748,25953.0787815949,21674.2066535529,24735.9902252212
North Cotabato,4700,124700,18960.6074366254,21349.7741769245,18148.8667694229,20437.9230456595,21980.8726478591,25875.1835887155,21041.6153515681,24846.9626235142
Northern Samar,4800,084800,20021.8456629444,22536.2505340152,19095.0271836861,21500.0490804754,23550.1099230063,26989.3113895005,22608.8315516426,25893.4889963397
Nueva Ecija,4900,034900,21803.0932264070,24539.1287426316,20688.7011313189,23253.7315426837,23966.5616497207,26641.3432622082,22748.8758413289,25258.8858656738
Nueva Vizcaya,5000,025000,19648.9280584702,23360.1081674539,18674.3735296807,22123.3074721581,24272.9485894315,25994.8446226550,23042.2454532436,24682.0850637262
Occidental Mindoro,5100,175100,18157.1455837009,20760.8908643404,17251.8127972963,19730.6662124130,20839.7032793928,21961.1340398110,19800.7876270944,20859.3340970929
Oriental Mindoro,5200,175200,18298.0723773428,21388.5243461766,17385.3433314965,20274.1138502535,21206.6024201633,25388.6429901189,20114.8217098668,24033.1977660032
Palawan,5300,175300,17355.9772945677,20269.2271573587,16559.3848724731,19276.8413826951,20572.2679220965,24281.9394243162,19552.2841185737,23143.8235715309
Pampanga,5400,035400,19669.7407990835,23401.8483016255,18526.8222826865,22092.6132952370,22233.7677216096,27085.9802377202,21007.0313618788,25722.0392381498
Pangasinan,5500,015500,18710.5408804447,21327.2635651947,17835.0833415552,20346.1527968609,23792.6204243136,29190.8583637969,22562.5428512445,27601.7647456050
Quezon,5600,045600,18702.7570909250,21236.7471066761,17945.7681072777,20353.6228434999,21670.8176283597,23590.0340098508,20775.7459106516,22585.2449251955
Quirino,5700,025700,19937.3251769243,22007.4159472081,19014.2101450036,20940.5626917027,22756.4084204497,24823.2851210082,21602.4631247315,23497.4939137906
Rizal,5800,045800,20741.9467934737,24632.0868887623,19694.8376805385,23376.6394749305,25536.6347216281,28647.4183118357,24193.5954713332,27088.4664668824
Romblon,5900,175900,19438.1500809207,22735.9126096058,18463.5866148074,21601.1937071402,22989.0233567235,25307.2284118574,21842.5461835887,24036.2995847057
Western Samar,6000,086000,16425.4606207366,20769.5760298487,15845.6904920407,20072.1522639095,21876.5913615407,23891.9824588203,21237.3190286353,23057.5900809623
Siquijor,6100,076100,19259.4873263640,22695.8613776314,18420.1775741085,21675.2112272662,22371.5303344952,26829.6077609248,21380.2561578233,25625.9423934011
